Drug1,Drug2,Increase Activity Interaction,Decrease Activity Interaction,Increase Effect Interaction,Decrease Effect Interaction,Increase Efficacy Interaction,Decrease Efficacy Interaction,Other Interaction
DB09245,DB13541,0,0,1,0,0,0,0
DB09245,DB01105,1,0,0,0,0,0,0
DB09245,DB09068,0,0,0,0,0,0,1
DB09245,DB09128,0,0,0,0,0,0,1
DB09245,DB00247,0,0,1,0,0,0,0
DB09245,DB00333,0,0,1,0,0,0,0
DB09245,DB00246,0,0,1,0,0,0,0
DB09245,DB01488,0,0,1,0,0,0,0
DB09245,DB06144,0,0,1,0,0,0,0
DB09245,DB09195,0,1,0,0,0,0,0
DB09245,DB05395,0,0,1,0,0,0,0
DB09245,DB01623,0,0,1,0,0,0,0
DB09245,DB08927,0,0,1,0,0,0,0
DB09245,DB04017,0,0,1,0,0,0,0
DB09245,DB12177,0,0,1,0,0,0,0
DB09245,DB11823,0,0,1,0,0,0,0
DB09245,DB13411,1,0,0,0,0,0,0
DB09245,DB04884,1,0,0,0,0,0,0
DB09245,DB00193,0,0,1,0,0,0,0
DB09245,DB12184,0,0,1,0,0,0,0
DB09245,DB09223,0,0,1,0,0,0,0
DB09245,DB00370,1,0,0,0,0,0,0
DB09245,DB00546,0,0,1,0,0,0,0
DB09245,DB09289,0,0,1,0,0,0,0
DB09245,DB12725,0,0,1,0,0,0,0
DB09245,DB00363,1,0,0,0,0,0,0
DB09245,DB06446,0,0,1,0,0,0,0
DB09245,DB14507,0,0,1,0,0,0,0
DB09245,DB01323,0,0,1,0,0,0,0
DB09245,DB06678,0,0,1,0,0,0,0
DB09245,DB11889,0,0,1,0,0,0,0
DB09245,DB12361,0,0,0,0,0,0,1
DB09245,DB00918,0,0,0,0,0,0,1
DB09245,DB13233,1,0,0,0,0,0,0
DB09245,DB00215,0,0,1,0,0,0,0
DB09245,DB09246,0,0,1,0,0,0,0
DB09245,DB01618,0,0,1,0,0,0,0
DB09245,DB01537,0,0,0,0,0,0,0
DB09245,DB09194,0,0,1,0,0,0,0
DB09245,DB06016,0,0,0,0,0,0,1
DB09245,DB09286,1,0,0,0,0,0,0
DB09245,DB00757,0,0,1,0,0,0,0
DB09245,DB09252,0,0,1,0,0,0,0
DB09245,DB00334,1,0,0,0,0,0,0
DB09245,DB12883,0,0,1,0,0,0,0
DB09245,DB01186,1,0,0,0,0,0,0
DB09245,DB12693,1,0,0,0,0,0,0
DB09245,DB00734,0,0,1,0,0,0,0
DB09245,DB06594,0,0,1,0,0,0,0
DB09245,DB00726,1,0,0,0,0,0,0
DB09245,DB13782,1,0,0,0,0,0,0
DB09245,DB00998,0,0,1,0,0,0,0
DB09245,DB00813,0,0,1,0,0,0,0
DB09245,DB01156,0,0,1,0,0,0,0
DB09245,DB00696,0,0,0,0,0,0,1
DB09245,DB00934,0,0,1,0,0,0,0
DB09245,DB06288,0,0,1,0,0,0,0
DB09245,DB11957,0,0,1,0,0,0,0
DB09245,DB01624,0,0,1,0,0,0,0
DB09245,DB13948,0,0,1,0,0,0,0
DB09245,DB02959,0,0,1,0,0,0,0
DB09245,DB00344,1,0,0,0,0,0,0
DB09245,DB09226,0,0,1,0,0,0,0
DB09245,DB09016,1,0,0,0,0,0,0
DB09245,DB01239,1,0,0,0,0,0,0
DB09245,DB04821,0,0,1,0,0,0,0
DB09245,DB04818,0,0,1,0,0,0,0
DB09245,DB09243,0,0,1,0,0,0,0
DB09245,DB11755,0,0,0,0,0,0,1
DB09245,DB00391,0,0,1,0,0,0,0
DB09245,DB00579,0,0,1,0,0,0,0
DB09245,DB00472,0,0,1,0,0,0,0
DB09245,DB01509,1,0,0,0,0,0,0
DB09245,DB04948,0,0,0,0,1,0,0
DB09245,DB06480,0,1,0,0,0,0,0
DB09245,DB00176,1,0,0,0,0,0,0
